"filename", "language", "Dart", "XML", "comment", "blank", "total"
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/nav.dart", "Dart", 19, 0, 2, 4, 25
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/network_errors.dart", "Dart", 11, 0, 1, 2, 14
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/picker.dart", "Dart", 43, 0, 3, 5, 51
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/regex.dart", "Dart", 6, 0, 0, 2, 8
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/snack_bar.dart", "Dart", 78, 0, 9, 9, 96
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/specific_size_text_exrension.dart", "Dart", 110, 0, 0, 5, 115
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/utils.dart", "Dart", 27, 0, 6, 9, 42
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/widgets/button.dart", "Dart", 206, 0, 23, 12, 241
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/widgets/click_button.dart", "Dart", 108, 0, 1, 7, 116
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/widgets/image_loader.dart", "Dart", 55, 0, 1, 4, 60
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/widgets/loading_overlay.dart", "Dart", 18, 0, 0, 4, 22
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/widgets/myicon.dart", "Dart", 47, 0, 2, 6, 55
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/widgets/pin_input_box.dart", "Dart", 66, 0, 1, 3, 70
"/Users/user/Documents/Dev/nuprojects/stream/lib/utils/widgets/text_input.dart", "Dart", 404, 0, 4, 8, 416
"Total", "-", 6385, 13, 657, 574, 7629
